laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
Apple MacBook Pro Laptop w/ Touch Bar,10528326,Apple,Mac OS,Intel Core i5,Intel,2,2.9,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2299.99
"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar ",10528330,Apple,Mac OS,Intel Core i5 ,Intel,2,2.9,8,512,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2549.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar",10528344,Apple,Mac OS,Intel Core i7,Intel,4,2.6,16,256,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 450 2GB GDDR5,Intel,Mac OS Sierra,2999.99
Apple MacBook ,10389635,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
Apple MacBook Pro Laptop With Retina Display ,10303960,Apple,Mac OS,Intel Core i5-5th Generation,Intel,2,2.7,8,128,SSD,13.3,2560 x 1600,Intel Iris Graphics 6100,Intel,OS X Yosemite,1549.99
Apple MacBook Pro Laptop w/ Touch Bar,10528328,Apple,Mac OS,Intel Core i7,Intel,4,2.7,16,512,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 455 2GB GDDR5,Intel,Mac OS Sierra,3499.99
Apple MacBook Pro,10528341,Apple,Mac OS,Intel Core i5 ,Intel,2,2,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 540,Intel,Mac OS Sierra,1899.99
Apple MacBook Air,10389625,Apple,Mac OS,Intel Core i5-5th Generation,Intel,2,1.6,8,256,SSD,13.3,1440 x 900,Intel HD Graphics 6000,Intel,OS X El Capitan,1449.99
Apple MacBook Pro Laptop With Retina Display,10360536,Apple,Mac OS,Intel Core i7-5th Generation,Intel,4,2.2,16,256,SSD,15.4,2880 x 1800,Intel Iris Pro Graphics,Intel,OS X Yosemite,2449.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar ",10528337,Apple,Mac OS,Intel Core i7,Intel,4,2.7,16,512,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 455 2GB GDDR5,Intel,Mac OS Sierra,3499.99
Apple MacBook ,10389633,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar",10528335,Apple,Mac OS,Intel Core i7,Intel,4,2.6,16,256,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 450 2GB GDDR5,Intel,Mac OS Sierra,2999.99
Apple MacBook,10391899,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar ",10528333,Apple,Mac OS,Intel Core i5 ,Intel,2,2.9,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2299.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar",10528327,Apple,Mac OS,Intel Core i7,Intel,4,2.7,16,512,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 455 2GB GDDR5,Intel,Mac OS Sierra,3499.99
"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar ",10528332,Apple,Mac OS,Intel Core i5 ,Intel,2,2.9,8,512,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2549.99
Apple MacBook,10389637,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar",10528325,Apple,Mac OS,Intel Core i7,Intel,4,2.6,16,256,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 450 2GB GDDR5,Intel,Mac OS Sierra,2999.99
Apple MacBook 1,10389631,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar",10528329,Apple,Mac OS,Intel Core i5,Intel,2,2.9,8,512,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2549.99
Apple MacBook,10389634,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
Apple MacBook,10391901,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
Apple MacBook ,10389629,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
Apple MacBook Pro Laptop w/ Touch Bar,10528331,Apple,Mac OS,Intel Core i5 ,Intel,2,2.9,8,512,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2549.99
"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar ",10528343,Apple,Mac OS,Intel Core i5,Intel,2,2.9,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2299.99
Apple MacBook,10389632,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
Apple MacBook,10389627,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
Apple MacBook,10391898,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
Apple MacBook ,10389636,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
Apple MacBook,10389630,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
Apple MacBook,10391900,Apple,Mac OS,Intel Core m5,Intel,2,1.2,8,512,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1999.99
