laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
"HP 17-X108CA 17.3"" Laptop",10510688,HP,Windows,Intel Core i5-7200U,Intel,2,2.5,16,1024,HDD,17.3,1600 x 900,Intel HD Graphics 620,Intel,Windows 10 Home,899.99
"ASUS ROG Strix GL753 17.3"" Gaming Laptop",10573746,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1152,SSHD,17.3,1920 x 1080,NVIDIA GTX1050Ti,NVIDIA,Windows 10 (64-bit),1599.99
Lenovo IdeaPad MIIX 310-10ICR 80SG001FUS,10551545,Lenovo,Windows,Intel Atom x5-Z8350 Quad-core,Intel,4,1.44,2,64,SSD,10.1,1280 x 800,HD Graphics 400,Intel,Windows 10 Home (English),329.99
"Dell i7567 15.6"" Laptop",10567344,Dell,Windows,Intel Core i5-7300HQ,Intel,4,2.5,8,1024,HDD,15.6,1920 x 1080,NVIDIA GeForce GTX 1050,NVIDIA,Windows 10 Home 64bit,1099.99
"Lenovo IdeaPad 310 15.6"" Laptop ",10574225,Lenovo,Windows, AMD A10-9600P ,AMD,4,2.4,12,1024,HDD,15.6,1366 x 768,AMD Radeon R5 Graphics,AMD,Windows 10 Home,729.99
"HP 15.6"" Laptop",10440814,HP,Windows,Intel Pentium N3710,Intel,4,1.6,8,1024,HDD,15.6,1366 x 768,Intel HD Graphics 405,Intel,Windows 10 Home,599.99
"Dell i3552 15.6"" Laptop",10481501,Dell,Windows,Intel Pentium Processor N3710,Intel,4,1.6,8,1024,HDD,15.6,1366 x 768,Intel HD Graphics,Intel,Windows 10 Home,599.99
Dell Inspiron 3000 ,10449282,Dell,Windows,Intel Pentium N3700,Intel,4,1.6,4,500,HDD,15.6,1366 x 768,Intel HD Graphics,Intel,Windows 10 Home,499.99
Lenovo IdeaPad 310-15ISK ,10574340,Lenovo,Windows,Intel i7-6500U,Intel,2,2.5,12,1024,HDD,15.6,1365 x 768,Intel HD Graphics 520,Intel,Windows 10 Home 64Bit,949.99
"ASUS ROG Strix GL702 17.3"" Gaming Laptop",10573743,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1024,HDD,17.3,1920 x 1080,NVIDIA GTX1070,NVIDIA,Windows 10 (64-Bit),2199.99
"ASUS ROG Strix GL553 15.6"" Gaming Laptop",10573742,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,12,1024,HDD,15.6,1920 x 1080,NVIDIA GTX1050,NVIDIA,Windows 10 64-Bit,1349.99
Lenovo IdeaPad Flex 4-1580 80VE000DUS ,10561835,Lenovo,Windows,Core i5,Intel,2,2.5,8,1024,HDD,15.6,1920 x 1080,HD Graphics 620,Intel,Windows 10 Home (English),1124.95
"Acer Aspire E 15.6"" Laptop",10497402,Acer,Windows,Intel Core i3-6100U,Intel,2,2.3,8,1024,HDD,15.6,1366 x 768,Intel HD Graphics 505,Intel,Windows 10,599.99
